Company Name,Rating,Reviews,Industry,Location,Extra Locations
Vishal Mega Mart,3.7,(3k),Retail,New Delhi,+350 other locations
Honda Motorcycle & Scooter,4.1,(3k),Automobile,Gurgaon / Gurugram,+264 other locations
Tata Capital,4.0,(3k),NBFC,Mumbai,+295 other locations
Hindustan Coca Cola Beverages,4.1,(3k),Beverage,Bangalore / Bengaluru,+241 other locations
Future Group,4.2,(3k),Retail,Mumbai,+205 other locations
HARMAN,3.7,(3k),Consumer Electronics & Appliances,Bangalore / Bengaluru,+38 other locations
Marpu Foundation,4.8,(3k),Non-Profit,Hyderabad / Secunderabad,+57 other locations
NatWest Group,4.1,(3k),Banking,Gurgaon / Gurugram,+24 other locations
Reliance Nippon Life Insurance,3.5,(3k),Insurance,Mumbai,+463 other locations
Indian Air Force,4.6,(3k),Defence & Aerospace,New Delhi,+128 other locations
Ceat Tyres,4.0,(3k),Auto Components,Nagpur,+131 other locations
ABB,4.1,(3k),Industrial Machinery,Bangalore / Bengaluru,+101 other locations
DTDC Express,3.7,(2.9k),Logistics,New Delhi,+253 other locations
ArcelorMittal Nippon Steel,4.1,(2.9k),Iron & Steel,Surat,+81 other locations
Conduent,3.4,(2.9k),BPO,Bangalore / Bengaluru,+31 other locations
InterGlobe Aviation,3.5,(2.9k),Aviation,New Delhi,+98 other locations
GeBBS Healthcare Solutions,3.7,(2.9k),Healthcare,Mumbai,+23 other locations
RSPL Group,4.1,(2.9k),FMCG,Kanpur,+229 other locations
AGS Health,4.0,(2.9k),Analytics & KPO,Chennai,+57 other locations
Alstom Transportation,3.7,(2.9k),Engineering & Construction,Bangalore / Bengaluru,+73 other locations
Tata AIG,4.1,(2.8k),Insurance,Mumbai,+246 other locations
Tata Technologies,3.6,(2.8k),Engineering & Construction,Pune,+50 other locations
UNO Minda,4.0,(2.8k),Auto Components,Pune,+98 other locations
Barclays,3.8,(2.8k),Banking,Pune,+36 other locations
Square Yards,3.7,(2.8k),Internet,Gurgaon / Gurugram,+49 other locations
Max Healthcare,4.0,(2.8k),Healthcare,New Delhi,+73 other locations
UPL,4.1,(2.8k),Agro Chemicals,Ankleshwar,+177 other locations
Amazon Transportation Services,4.1,(2.8k),Hyderabad / Secunderabad +219 other locations,,N/A
CMS IT Services,3.1,(2.8k),IT Services & Consulting,Mumbai,+151 other locations
S&P Global,4.0,(2.8k),Analytics & KPO,Hyderabad / Secunderabad,+43 other locations
Walmart,3.5,(2.8k),Retail,Bangalore / Bengaluru,+87 other locations
PepsiCo,4.0,(2.8k),Food Processing,Hyderabad / Secunderabad,+257 other locations
Titan Company,4.3,(2.8k),Retail,Bangalore / Bengaluru,+169 other locations
Varroc Group,3.6,(2.7k),Auto Components,Pune,+60 other locations
Dilip Buildcon,3.9,(2.7k),Engineering & Construction,Bhopal,+211 other locations
Bajaj Allianz General Insurance,3.8,(2.7k),Insurance,Pune,+261 other locations
Croma,3.9,(2.7k),Retail,Mumbai,+173 other locations
UnitedHealth,4.0,(2.7k),Healthcare,Hyderabad / Secunderabad,+16 other locations
PhonePe,4.0,(2.7k),FinTech,Bangalore / Bengaluru,+323 other locations
TVS Credit Services Ltd,4.2,(2.7k),NBFC,Chennai,+383 other locations
ACC,3.9,(2.7k),Building Material,Mumbai,+251 other locations
Societe Generale Global Solution Centre,3.7,(2.7k),IT Services & Consulting,Bangalore / Bengaluru,+24 other locations
Zensar Technologies,3.7,(2.7k),IT Services & Consulting,Pune,+28 other locations
Mankind Pharma,3.9,(2.7k),Pharma,New Delhi,+221 other locations
Torrent Pharmaceuticals,3.9,(2.7k),Pharma,Ahmedabad,+115 other locations
Whitehat jr,3.4,(2.7k),EdTech,Mumbai,+48 other locations
Afcons Infrastructure,4.2,(2.7k),Engineering & Construction,Mumbai,+111 other locations
Shoppers Stop,4.1,(2.7k),Retail,Mumbai,+78 other locations
Nokia,4.0,(2.6k),Telecom,Bangalore / Bengaluru,+164 other locations
I Process Services,3.9,(2.6k),Mumbai +371 other locations,,N/A
HDFC Sales,4.0,(2.6k),Financial Services,Mumbai,+321 other locations
MSN Laboratories,3.7,(2.6k),Pharma,Hyderabad / Secunderabad,+88 other locations
Quest Global,3.6,(2.6k),IT Services & Consulting,Bangalore / Bengaluru,+44 other locations
Fiserv,2.9,(2.6k),FinTech,Pune,+32 other locations
Fujitsu,3.8,(2.6k),IT Services & Consulting,Pune,+39 other locations
Apollo Tyres,4.0,(2.6k),Auto Components,Chennai,+167 other locations
Capita,3.5,(2.5k),IT Services & Consulting,Pune,+31 other locations
Suzlon Group,4.0,(2.5k),Power,Pune,+125 other locations
Cloudnine Hospital,4.4,(2.5k),Healthcare,Bangalore / Bengaluru,+40 other locations
Flex,4.0,(2.5k),Electronics Manufacturing,Chennai,+44 other locations
IDFC FIRST Bharat,4.3,(2.5k),Financial Services,Chennai,+359 other locations
Eternal Limited,3.7,(2.5k),Internet,Gurgaon / Gurugram,+213 other locations
Jindal Stainless,4.2,(2.5k),Iron & Steel,Jajpur,+72 other locations
DS Group,4.1,(2.5k),FMCG,Noida,+262 other locations
Tata Elxsi,3.7,(2.5k),IT Services & Consulting,Bangalore / Bengaluru,+28 other locations
IKS Health,3.6,(2.5k),Analytics & KPO,Mumbai,+26 other locations
Blinkit,3.8,(2.5k),Internet,Gurgaon / Gurugram,+105 other locations
Nestle,3.9,(2.5k),FMCG,Gurgaon / Gurugram,+269 other locations
Shree Cement,3.8,(2.5k),Building Material,Beawar,+243 other locations
Sahrudaya Healthcare (Medicover Hospitals),4.6,(2.5k),Healthcare,Hyderabad / Secunderabad,+43 other locations
ElasticRun,3.5,(2.5k),Logistics,Pune,+376 other locations
Yazaki,3.9,(2.5k),Auto Components,Pune,+86 other locations
Landmark Group,3.9,(2.5k),Retail,Bangalore / Bengaluru,+160 other locations
VVDN Technologies,3.6,(2.4k),IT Services & Consulting,Gurgaon / Gurugram,+42 other locations
Blue Dart Express Ltd,4.0,(2.4k),Logistics,Mumbai,+261 other locations
KPMG Global Services,3.5,(2.4k),Management Consulting,Bangalore / Bengaluru,+36 other locations
Indus Towers,3.7,(2.4k),Hardware & Networking,Gurgaon / Gurugram,+203 other locations
GATI-KWE,3.9,(2.4k),Logistics,Hyderabad / Secunderabad,+157 other locations
Shell,3.9,(2.4k),Oil & Gas,Bangalore / Bengaluru,+84 other locations
Exide Industries,3.5,(2.4k),Auto Components,Kolkata,+194 other locations
Statestreet HCL Services,3.4,(2.4k),BPO,Chennai,+17 other locations
Micro Labs,3.6,(2.4k),Pharma,Bangalore / Bengaluru,+141 other locations
Britannia,4.0,(2.4k),FMCG,Bangalore / Bengaluru,+271 other locations
SRF,4.1,(2.4k),Chemicals,Bharuch,+65 other locations
TVS Supply Chain Solutions,3.8,(2.4k),Chennai +145 other locations,,N/A
Domino's Pizza,3.9,(2.4k),New Delhi +236 other locations,,N/A
BlackBuck,3.7,(2.4k),Internet,Bangalore / Bengaluru,+351 other locations
G4S,3.9,(2.4k),Law Enforcement & Security,Gurgaon / Gurugram,+146 other locations
Sterlite Technologies,3.8,(2.4k),Hardware & Networking,Aurangabad,+95 other locations
Sammaan Capital Limited,3.7,(2.4k),NBFC,Gurgaon / Gurugram,+198 other locations
Dalmia Bharat Cement,4.0,(2.4k),Building Material,Guwahati,+235 other locations
Bajaj Electricals,4.0,(2.3k),Consumer Electronics & Appliances,Mumbai,+222 other locations
ZS,3.3,(2.3k),Management Consulting,Pune,+16 other locations
KFintech,3.5,(2.3k),FinTech,Hyderabad / Secunderabad,+107 other locations
Paras Hospital,4.3,(2.3k),Healthcare,Patna,+60 other locations
ESAF Small Finance Bank,3.7,(2.3k),Banking,Thrissur,+385 other locations
Kansai Nerolac Paints,3.8,(2.3k),Chemicals,Mumbai,+224 other locations
Voltas,4.0,(2.3k),Consumer Electronics & Appliances,Mumbai,+186 other locations
Alldigi Tech,4.0,(2.3k),BPO,Chennai,+34 other locations
ACT Fibernet,3.9,(2.3k),Telecom,Hyderabad / Secunderabad,+54 other locations
Fortis Healthcare,4.0,(2.3k),Healthcare,New Delhi,+65 other locations
Sonalika Tractors,3.6,(2.3k),Automobile,Hoshiarpur,+179 other locations
Patanjali Ayurved,3.9,(2.3k),FMCG,Haridwar,+289 other locations
McDonald's,3.9,(2.3k),New Delhi +144 other locations,,N/A
Tractors and Farm Equipment,4.0,(2.3k),Industrial Machinery,Chennai,+180 other locations
Ajanta Pharma,4.0,(2.3k),Pharma,Mumbai,+115 other locations
Movate,3.3,(2.3k),IT Services & Consulting,Chennai,+36 other locations
Capgemini Engineering,3.4,(2.3k),IT Services & Consulting,Bangalore / Bengaluru,+27 other locations
Blue Star,4.1,(2.3k),Consumer Electronics & Appliances,Mumbai,+142 other locations
